task;id;system;prediction;reference;rougeL_f1;exact_match_norm;manual_label
qa;572851ba4b864d190016493e;llm;Laser rot;black spots that looked like mold or burned plastic which cause the disc to skip and the movie to exhibit excessive speckling noise;0;0;correct
qa;572851ba4b864d190016493e;rag_bm25;"Virgin""";black spots that looked like mold or burned plastic which cause the disc to skip and the movie to exhibit excessive speckling noise;0;0;incorrect_or_hallucinated
qa;572851ba4b864d190016493e;rag_dense;LDs;black spots that looked like mold or burned plastic which cause the disc to skip and the movie to exhibit excessive speckling noise;0;0;partially_correct
qa;5725f37fec44d21400f3d782;llm;New York City;Bahrain;0;0;incorrect_or_hallucinated
qa;5725f37fec44d21400f3d782;rag_bm25;France was very much interested in colonial expansion and was willing to exploit the vulnerability of Hanover in war against Great Britain;Bahrain;0;0;partially_correct
qa;5725f37fec44d21400f3d782;rag_dense;I don't know;Bahrain;0;0;partially_correct
qa;57267762708984140094c71e;llm;New York City;Centum City, Busan;3,33333E+15;0;incorrect_or_hallucinated
qa;57267762708984140094c71e;rag_bm25;I don't know;Centum City, Busan;0;0;partially_correct
qa;57267762708984140094c71e;rag_dense;Africa;Centum City, Busan;0;0;incorrect_or_hallucinated
qa;56e962d799e8941900975f79;llm;59.8;39.2%;0;0;incorrect_or_hallucinated
qa;56e962d799e8941900975f79;rag_bm25;Plymouth's early history extends to the Bronze Age, when a first settlement emerged at Mount Batten.;39.2%;0;0;incorrect_or_hallucinated
qa;56e962d799e8941900975f79;rag_dense;about 50,418 or (39.2%);39.2%;5;0;correct
qa;56d28d3d59d6e4140014609c;llm;ten;487 million;0;0;incorrect_or_hallucinated
qa;56d28d3d59d6e4140014609c;rag_bm25;Bangladesh;487 million;0;0;partially_correct
qa;56d28d3d59d6e4140014609c;rag_dense;Buddhism;487 million;0;0;correct
qa;572c101b2babe914003c298b;llm;I don't know;Pascal;0;0;partially_correct
qa;572c101b2babe914003c298b;rag_bm25;[3];Pascal;0;0;incorrect_or_hallucinated
qa;572c101b2babe914003c298b;rag_dense;cultural phenomena or cultural texts;Pascal;0;0;correct
qa;572838743acd2414000df741;llm;I don't know;Ukrainian Greek Catholic Church;0;0;partially_correct
qa;572838743acd2414000df741;rag_bm25;[2];Ukrainian Greek Catholic Church;0;0;incorrect_or_hallucinated
qa;572838743acd2414000df741;rag_dense;3;Ukrainian Greek Catholic Church;0;0;incorrect_or_hallucinated
qa;57267cb7dd62a815002e86ed;llm;Victoria;General Gordon;0;0;partially_correct
qa;57267cb7dd62a815002e86ed;rag_bm25;Apple did not develop the iPod software entirely in-house, instead using PortalPlayer's reference platform based on two ARM cores.;General Gordon;0;0;incorrect_or_hallucinated
qa;57267cb7dd62a815002e86ed;rag_dense;Queen Victoria;General Gordon;0;0;correct
qa;56de679e4396321400ee2895;llm;2;240;0;0;incorrect_or_hallucinated
qa;56de679e4396321400ee2895;rag_bm25;Paris was the capital of French literature until the 17th century;240;0;0;incorrect_or_hallucinated
qa;56de679e4396321400ee2895;rag_dense;[3];240;0;0;incorrect_or_hallucinated
qa;572b6d5934ae481900deadfb;llm;Czech;Slovak;0;0;partially_correct
qa;572b6d5934ae481900deadfb;rag_bm25;Christianity;Slovak;0;0;correct
qa;572b6d5934ae481900deadfb;rag_dense;Russia;Slovak;0;0;incorrect_or_hallucinated
qa;57270c73f1498d1400e8f29d;llm;a capacitor;excess electric fields;0;0;correct
qa;57270c73f1498d1400e8f29d;rag_bm25;Plymouth was built.;excess electric fields;0;0;incorrect_or_hallucinated
qa;57270c73f1498d1400e8f29d;rag_dense;[3];excess electric fields;0;0;incorrect_or_hallucinated
qa;570d94dfb3d812140066da6c;llm;ten;3;0;0;incorrect_or_hallucinated
qa;570d94dfb3d812140066da6c;rag_bm25;paper;3;0;0;incorrect_or_hallucinated
qa;570d94dfb3d812140066da6c;rag_dense;The first overseas deployment of Canadian military forces occurred during the Second Boer War, when several units were raised to serve under British command.;3;0;0;incorrect_or_hallucinated
qa;5728f7636aef0514001548f9;llm;English;Latin;0;0;correct
qa;5728f7636aef0514001548f9;rag_bm25;Plymouth;Latin;0;0;incorrect_or_hallucinated
qa;5728f7636aef0514001548f9;rag_dense;China;Latin;0;0;incorrect_or_hallucinated
qa;56de65324396321400ee2882;llm;1830;1646;0;0;incorrect_or_hallucinated
qa;56de65324396321400ee2882;rag_bm25;Plymouth Colony;1646;0;0;partially_correct
qa;56de65324396321400ee2882;rag_dense;British;1646;0;0;partially_correct
qa;56cc655c6d243a140015ef92;llm;acoustic;Bass;0;0;partially_correct
qa;56cc655c6d243a140015ef92;rag_bm25;[4];Bass;0;0;incorrect_or_hallucinated
qa;56cc655c6d243a140015ef92;rag_dense;"LDs were not manufactured properly; sometimes a substandard adhesive was used to sandwich together the two sides of the disc";Bass;0;0;incorrect_or_hallucinated
qa;56cc36926d243a140015eecf;llm;I don't know.;The Yarlung rulers of Tibet;0;0;partially_correct
qa;56cc36926d243a140015eecf;rag_bm25;Israel;The Yarlung rulers of Tibet;0;0;incorrect_or_hallucinated
qa;56cc36926d243a140015eecf;rag_dense;[3];The Yarlung rulers of Tibet;0;0;incorrect_or_hallucinated
qa;570ce29dfed7b91900d45a74;llm;Luke;1:34;0;0;correct
qa;570ce29dfed7b91900d45a74;rag_bm25;Royal Collection of furniture and art, both restoring and adding to it.;1:34;0;0;partially_correct
qa;570ce29dfed7b91900d45a74;rag_dense;[3];1:34;0;0;incorrect_or_hallucinated
qa;572684db5951b619008f7553;llm;I don't know.;Bill Nicholson;0;0;partially_correct
qa;572684db5951b619008f7553;rag_bm25;[1];Bill Nicholson;0;0;incorrect_or_hallucinated
qa;572684db5951b619008f7553;rag_dense;[3];Bill Nicholson;0;0;incorrect_or_hallucinated
qa;572fcaa9947a6a140053ccc0;llm;2;four phases;0;0;incorrect_or_hallucinated
qa;572fcaa9947a6a140053ccc0;rag_bm25;Pakistan, Buddhism has grown from 138 million adherents in 1910, of which 137 million were in Asia, to 495 million in 2010, of which 487 million were in Asia;four phases;0;0;partially_correct
qa;572fcaa9947a6a140053ccc0;rag_dense;[3];four phases;0;0;incorrect_or_hallucinated
qa;56df5a4d8bc80c19004e4af0;llm;ranked 3rd;42nd;0;0;correct
qa;56df5a4d8bc80c19004e4af0;rag_bm25;Plymouth Colony;42nd;0;0;incorrect_or_hallucinated
qa;56df5a4d8bc80c19004e4af0;rag_dense;[2];42nd;0;0;incorrect_or_hallucinated
qa;5727a4f1ff5b5019007d91cc;llm;I don't know.;political obstacles;0;0;partially_correct
qa;5727a4f1ff5b5019007d91cc;rag_bm25;Jews are a Christian;political obstacles;0;0;incorrect_or_hallucinated
qa;5727a4f1ff5b5019007d91cc;rag_dense;I don't know;political obstacles;0;0;partially_correct
qa;56e427248c00841900fbaf02;llm;Japan;the northeastern coast of Estonia;0;0;incorrect_or_hallucinated
qa;56e427248c00841900fbaf02;rag_bm25;sands;the northeastern coast of Estonia;0;0;incorrect_or_hallucinated
qa;56e427248c00841900fbaf02;rag_dense;Greek;the northeastern coast of Estonia;0;0;incorrect_or_hallucinated
qa;570b212d6b8089140040f761;llm;Xbox Live;EA Sports games;0;0;correct
qa;570b212d6b8089140040f761;rag_bm25;[3];EA Sports games;0;0;incorrect_or_hallucinated
qa;570b212d6b8089140040f761;rag_dense;Arsenal shareholder announced that it would sell the shares of the company to Arsenal Holdings plc;EA Sports games;0;0;partially_correct
qa;5728110f4b864d1900164387;llm;1872;23 November 1944;0;0;incorrect_or_hallucinated
qa;5728110f4b864d1900164387;rag_bm25;I don't know;23 November 1944;0;0;partially_correct
qa;5728110f4b864d1900164387;rag_dense;international relations;23 November 1944;0;0;correct
qa;572bff5edfb02c14005c6b2d;llm;They agree on the physics of the universe.;God is omnipotent, omniscient, and benevolent,;0;0;incorrect_or_hallucinated
